inventory_id,type_of_property,date_acquired,cost,current_date
CON000016,DEF,2022-02-09 00:00:00,220.31,2024-02-25
CON000056,IBY,2021-12-28 00:00:00,135.38,2024-02-25
CON000060,IBY,2021-12-20 00:00:00,94.9,2024-02-25
CON000035,DEF,2021-08-17 00:00:00,62.839999999999996,2024-02-25
CON000059,IBY,2021-12-28 00:00:00,60.83999999999998,2024-02-25
CON000041,IBY,2021-05-18 00:00:00,38.65,2024-02-25
CON000067,IBY,2022-01-28 00:00:00,32.09,2024-02-25
CON000033,DEF,2021-07-01 00:00:00,28.110000000000007,2024-02-25
CON000063,IBY,2022-01-16 00:00:00,25.310000000000002,2024-02-25
CON000031,DEF,2021-06-01 00:00:00,18.530000000000005,2024-02-25
CON000070,IBY,2022-02-28 00:00:00,14.6,2024-02-25
CON000087,IBY,2022-04-02 00:00:00,8.08,2024-02-25
CON000086,IBY,2022-04-01 00:00:00,,2024-02-25
